id,code,descripcion,similar
7827,41102911,Cuchillos o sujeta cuchillos o cuchillas histológicos,
7828,41102912,Cuchillos marcadores de vidrio histológicos,
7829,41102913,Afiladores o correas o compuestos histológicos,
7830,41102914,Desintegradores ultrasónicos,
7831,41102915,Estaciones de muestreo y disección histológica,
7832,41102916,Micrótomos,
7833,41102917,Cuchillas para micrótomos,
7834,41102918,Forros deslizantes para laboratorio,
7835,41102919,Recicladores de solventes,
7836,41102920,Casetes para tejidos para histología,
7837,41102921,Parafina para histología,
7838,41102922,Equipo de forros deslizantes automatizado,
7839,41102923,Contador de celdas somático,
7840,41102924,Etiquetador de casetes de tejidos automatizado,
7841,41102925,Arcador permanente resistente a la formalina y al solvente para histología,Fijadores histológicos
7842,41102926,Tolva de casetes de tejidos para histología,
7843,41102927,Implemento para procesar tejidos para histología,
7844,41103000,Equipo de enfriamiento para laboratorio,
7845,41103001,Sondas planas enfriadoras refrigeradas,
7846,41103003,Criostatos,
7847,41103004,Hornos de circulación por ventilador,
7848,41103005,Gabinetes o congeladores ultra fríos o ultra bajos independientes,
7849,41103006,Congeladores criogénicos o de nitrógeno líquido,
7850,41103007,Unidades de enfriamiento o circuladores de agua fría,
7851,41103008,Módulos enfriadores refrigerados,
7852,41103010,Refrigeradores para bancos de sangre,
7853,41103011,Refrigeradores para propósitos generales o neveras congeladores,
7854,41103012,Refrigeradores o neveras congeladores para almacenar material inflamable,
7855,41103013,Refrigeradores o neveras congeladores a prueba de explosiones,
7856,41103014,Refrigeradores de cromatografía,
7857,41103015,Congeladores para bancos de sangre,
7858,41103017,Congeladores para almacenar material inflamable,
7859,41103019,Congeladores para almacenar plasma,
7860,41103020,Congeladores de cofre ultra fríos o ultra bajos,
7861,41103021,Congeladores planos para laboratorio,
7862,41103022,Transporte o almacenamiento frío,
7863,41103023,Enfriadores para laboratorio,
7864,41103024,Trampas frías,
7865,41103025,Accesorios para equipos enfriadores de laboratorio,
7866,41103026,Cubeta de hielo o contenedor enfriador para mesa de trabajo,
7867,41103027,Cabina de almacenamiento de unidades de sangre,
7868,41103200,Equipo de lavado de laboratorio,
7869,41103201,Lavadoras de ingeniería química,
7870,41103202,Máquinas lavadoras para laboratorio,
7871,41103203,Lavadoras de pipetas,
7872,41103205,Estantes o accesorios para máquinas lavadoras,
7873,41103206,Detergentes de lavado para laboratorios,
7874,41103207,Lavadoras de micro placas,
7875,41103208,Lavadoras de celdas de bancos de sangre,
7876,41103209,Botellas de lavado de laboratorios,
7877,41103210,Esterilizadores uv ultravioleta para laboratorios,Sistema esterilizador con filtro UV
7878,41103211,Equipos para el tratamiento de aguas residuales de laboratorio,
7879,41103212,Cepillo limpiador de cristalería de laboratorio,
7880,41103300,Equipo de mecánica de fluidos,
7881,41103301,Contadores centellantes líquidos,
7882,41103302,Hidrómetros ácidos de batería,
7883,41103303,Densitómetros,
7884,41103305,Equipos de alto vacío,
7885,41103306,Equipos de vacío neumático,
7886,41103307,Equipos de vacío o vapor de mercurio,
7887,41103308,Aparatos de combustión de alto vacío,
7888,41103309,Equipos de análisis de inyección de flujo,
7889,41103310,Instrumentos para medir la concentración de gas o vapor,
7890,41103311,Manómetros,
7891,41103312,Viscosímetros,
7892,41103313,Indicadores de profundidad,
7893,41103314,Aparatos de estimación de estructura microscópica,
7894,41103315,Aparatos de estimación de fuerza de una solución,
7895,41103316,Picnómetros,
7896,41103317,Instrumentos para medir la tensión de la superficie,
7897,41103318,Densitómetro nuclear,
7898,41103319,Instrumento para medir la concentración,
7899,41103320,Instrumento para medir la densidad,
7900,41103321,Aparatos para medir la estabilidad de cuerpos flotantes,
7901,41103322,Evaluador de corriente de aire,Anemómetro
7902,41103323,Flujómetro acústico de canal abierto,
7903,41103324,Generador de ondas para laboratorio,
7904,41103325,Aparato de visualización de flujo de fluido,
7905,41103326,Túnel de viento,
7906,41103327,Medidor de corriente,
7907,41103400,Equipo de acondicionamiento ambiental para laboratorio,
7908,41103401,Pantallas de control de contaminación,
7909,41103403,Equipos de control de aire microbiológico,
7910,41103406,Cajas de guantes de aislamiento,
7911,41103407,Cámara anaeróbica,
7912,41103408,Alcance refrigerado para cámaras ambientales o de cultivo,
7913,41103409,Alcance caliente para cámaras ambientales o de cultivo,
7914,41103410,Alcance refrigerado y caliente para cámaras ambientales y de cultivo,
7915,41103411,Camino refrigerado para cámaras ambientales o de cultivo,
7916,41103412,Camino caliente para cámaras ambientales o de cultivo,
7917,41103413,Camino refrigerado y caliente para cámaras ambientales o de cultivo,
7918,41103414,Accesorios para equipos acondicionadores de ambiente para laboratorios,
7919,41103415,Bancos limpios,
7920,41103416,Cámara de ciclos de temperatura,
7921,41103417,Monitor de calidad del aire interior,
7922,41103418,Cámara ambiental de temperatura y humedad a la que se puede entrar,Cámara climática
7923,41103419,Cámara de polución ambiental,Cámara de contaminación ambiental
7924,41103420,Cámara de ozono ambiental,
7925,41103421,Cámara de explosión ambiental,
7926,41103500,Recintos cerrados de laboratorio y accesorios,
7927,41103501,Ebullómetro,
7928,41103502,Caperuzas o cajones para gases,
7929,41103504,Gabinetes o estaciones para flujo laminar,
7930,41103506,Cerramientos pcr,
7931,41103507,Cerramientos hepa filtrados,
7932,41103508,Cerramientos carbono filtrados,
7933,41103509,Estropajos para laboratorio,
7934,41103510,Secadores para laboratorio,
7935,41103511,Accesorios de cerramiento para laboratorio,
7936,41103512,Eliminadores de estática,
7937,41103513,Cerramientos para cultivo de tejidos,
7938,41103514,Generador de vapor para laboratorio,
7939,41103515,Generador de gas para laboratorio,
7940,41103516,Capucha de ventilación,
7941,41103700,Cubetas de laboratorio,
7942,41103701,Baños de circulación,
7943,41103702,Baños termostáticos,
7944,41103703,Baños múltiples,
7945,41103704,Baños biológicos,
7946,41103705,Baños para órganos,
7947,41103706,Baños de agua,
7948,41103707,Baños de aceite,
7949,41103708,Baños de arena,
7950,41103709,Baños refrigerados,
7951,41103710,Baños de agua de agitación orbital,
7952,41103711,Baños de agua de agitación recíproca,
7953,41103712,Circuladores de inmersión,
7954,41103713,Baños de viscosidad,
7955,41103714,Baños de flotación de tejidos,
7956,41103715,Accesorios o suministros para baños de laboratorio,
7957,41103716,Baños para descongelar plasma de bancos de sangre,
7958,41103717,Baños para cultivos de tejidos,
7959,41103800,Equipo y suministros para la mezcla y la agitación por sacudida o varillas en laboratorio,
7960,41103801,Mezcladores de laboratorio,
7961,41103802,Mezcladores de rodillo,
7962,41103803,Mesas para revolver,
7963,41103804,Equipo multi banco o de floculación,
7964,41103805,Vibradores para laboratorio,
7965,41103806,Agitador magnético,
7966,41103807,Mezcladores de toque para laboratorio,
7967,41103808,Mezcladores de plaqueta,
7968,41103809,Mezcladores químicos o de hematología,
7969,41103810,Agitadores de techo,
7970,41103811,Sacudidores orbitales,
7971,41103812,Sacudidores recíprocos,
7972,41103813,Sacudidores de rotación,
7973,41103814,Mezcladores de vértice,
7974,41103815,Rotadores de tubos,
7975,41103816,Accesorios o aditamentos para mezcladores o sacudidores,
7976,41103817,Reactor de laboratorio,
7977,41103900,Centrifugadoras de laboratorio y accesorios,
7978,41103901,Micro centrífugas,
7979,41103902,Micro centrífugas refrigeradas,
7980,41103903,Centrífugas de mesa,
7981,41103904,Centrífugas de mesa refrigeradas,
7982,41103905,Centrífugas de piso,
7983,41103906,Centrífugas de piso refrigeradas,
7984,41103907,Ultra centrífugas,
7985,41103908,Centrífugas de vacío,
7986,41103909,Rotores de centrífugas,
7987,41103910,Baldes centrífugos,
7988,41103911,Adaptadores para centrífugas,
7989,41103912,Cepillos para centrífugas,
7990,41103913,Accesorios para centrífugas de laboratorio,
7991,41103914,Citocentrífuga,
7992,41104000,Equipo de toma de muestras,
7993,41104001,Cambiadores de muestras,
7994,41104002,Oxidante de muestras,
7995,41104003,Línea de preparación de muestras,
7996,41104004,Bombas de preparación de muestras,
7997,41104005,Achicadores para laboratorio,
7998,41104006,Coliwasas (muestreadores de desechos líquidos de compostaje),
7999,41104007,Muestreadores de agua,
8000,41104008,Muestreadores o colectores de aire,
8001,41104009,Bombas muestreadoras de aire,
8002,41104010,Kits de reactivos para usar con muestreadores de aire,
8003,41104011,Filtros u otras partes de repuesto para muestreadores,
8004,41104012,Recogedores o frascos para polvo,
8005,41104013,Muestreadores de dióxido de sulfuro o de humo,
8006,41104014,Aplicadores de muestras,
8007,41104015,Equipo de análisis de muestras de plantas,
8008,41104016,Muestreadores de polución de aire,
8009,41104017,Contenedores para muestras,
8010,41104018,Preparaciones para extracción de fase sólida,
8011,41104019,Colectores de muestras,
8012,41104020,Bandeja de flujo de elemento calcino,
8013,41104021,Colector de fracciones,
